3.055,0,0,0,1.85,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0.398,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,55,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.432,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0.29,0.67,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,90,0,0,15,0,0,0,0,0,0,1.34,0,0,0,0,0.67,0,0,2.01,0,0,0
1.857,2.77,0,0,0,2.77,0,2.77,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,11,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,3.33,18,0,0,10,0,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0.68,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0.28,0.28,0,0.28,0,0,0,0.86,0,0,0,0,0,0,0,0.216,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,7,0,0.043,0,0,0,0,0.57,0,0,0,0.28,0,0,0,0,0,0,0
1.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,7,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0
2.812,0,0,0.78,0.78,0,0,1.57,0,0,0,0,0,0,0.78,0,0,0,0.437,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,13,0,0.087,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0
5.086,0,0,0,0,0,0,0,0.43,0,0,0,0.87,0,0.87,0,0,0,0.075,0,0.075,0,0,0,0.151,0,0,0,0,0,0.43,0,0.43,0,0,0,117,0,0,33,0,0,0,0,0.43,0,6.14,0,0,0,0,0,0.43,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0
